[Thu Feb 17 16:06:35.491796 2022] [proxy_fcgi:error] [pid 14596:tid 1268] (70007)The timeout specified has expired: [client 127.0.0.1:51943] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:07:15.472780 2022] [proxy_fcgi:error] [pid 14596:tid 1340] (70007)The timeout specified has expired: [client 127.0.0.1:51978] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugins.php
[Thu Feb 17 16:07:19.910814 2022] [proxy_fcgi:error] [pid 14596:tid 1260] (70007)The timeout specified has expired: [client 127.0.0.1:51983] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:07:31.331708 2022] [proxy_fcgi:error] [pid 14596:tid 1308] (70007)The timeout specified has expired: [client 127.0.0.1:51986] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugins.php
[Thu Feb 17 16:07:35.818643 2022] [proxy_fcgi:error] [pid 14596:tid 1268] (70007)The timeout specified has expired: [client 127.0.0.1:52008] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugins.php
[Thu Feb 17 16:07:39.488205 2022] [proxy_fcgi:error] [pid 14596:tid 1332] (70007)The timeout specified has expired: [client 127.0.0.1:52011] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugins.php
[Thu Feb 17 16:07:48.136710 2022] [proxy_fcgi:error] [pid 14596:tid 1244] (70007)The timeout specified has expired: [client 127.0.0.1:52014] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:07:49.825477 2022] [proxy_fcgi:error] [pid 14596:tid 1208] (70007)The timeout specified has expired: [client 127.0.0.1:52017] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:07:50.406098 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:52020] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:07:50.655865 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:52023] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:08:19.919905 2022] [proxy_fcgi:error] [pid 14596:tid 1340] (70007)The timeout specified has expired: [client 127.0.0.1:52047] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:08:36.060764 2022] [proxy_fcgi:error] [pid 14596:tid 1268] (70007)The timeout specified has expired: [client 127.0.0.1:52054] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugins.php
[Thu Feb 17 16:08:39.544360 2022] [proxy_fcgi:error] [pid 14596:tid 1332] (70007)The timeout specified has expired: [client 127.0.0.1:52056] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/customize.php?return=%2Fwp-admin%2Fplugins.php&autofocus%5Bcontrol%5D=header_image
[Thu Feb 17 16:08:51.157406 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:54560] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/update.php?action=install-plugin&plugin=woocommerce&_wpnonce=59f94aec1b
[Thu Feb 17 16:08:53.761188 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:54563] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Thu Feb 17 16:09:53.802816 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:64941] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/update.php?action=install-plugin&plugin=woocommerce&_wpnonce=59f94aec1b
[Thu Feb 17 16:11:21.498314 2022] [access_compat:error] [pid 14596:tid 1332] [client 127.0.0.1:65156] AH01797: client denied by server configuration: C:/Users/Nazmie/Local Sites/tatianasite/app/public/wp-content/uploads/woocommerce_uploads/, referer: http://tatianasite.local/wp-content/uploads/woocommerce_uploads/
[Thu Feb 17 16:15:40.560056 2022] [proxy_fcgi:error] [pid 14596:tid 1244] (70007)The timeout specified has expired: [client 127.0.0.1:56143] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=business-features
[Thu Feb 17 16:16:36.364866 2022] [proxy_fcgi:error] [pid 14596:tid 1340] (70007)The timeout specified has expired: [client 127.0.0.1:56209] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=business-features
[Thu Feb 17 16:16:37.612430 2022] [proxy_fcgi:error] [pid 14596:tid 1268] (70007)The timeout specified has expired: [client 127.0.0.1:56212] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=business-features
[Thu Feb 17 16:17:06.288450 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:55836] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=business-features
[Thu Feb 17 16:17:07.334880 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:55839] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=theme
[Thu Feb 17 16:17:37.612277 2022] [proxy_fcgi:error] [pid 14596:tid 1340] (70007)The timeout specified has expired: [client 127.0.0.1:55845] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=theme
[Thu Feb 17 16:18:10.382989 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:55864] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=theme
[Thu Feb 17 16:18:24.905332 2022] [proxy_fcgi:error] [pid 14596:tid 1284] (70007)The timeout specified has expired: [client 127.0.0.1:55852] AH01075: Error dispatching request to :10005: (polling), referer: https://safe-doctor.localsite.io/
[Thu Feb 17 16:18:29.898330 2022] [proxy_fcgi:error] [pid 14596:tid 1300] (70007)The timeout specified has expired: [client 127.0.0.1:55853] AH01075: Error dispatching request to :10005: (polling), referer: https://safe-doctor.localsite.io/
[Thu Feb 17 16:18:31.628496 2022] [proxy_fcgi:error] [pid 14596:tid 1332] (70007)The timeout specified has expired: [client 127.0.0.1:55855] AH01075: Error dispatching request to :10005: (polling), referer: https://safe-doctor.localsite.io/
[Thu Feb 17 16:18:37.622958 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:55875] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=theme
[Thu Feb 17 16:19:26.630774 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:55894] AH01075: Error dispatching request to :10005: (polling)
[Thu Feb 17 16:19:31.620916 2022] [proxy_fcgi:error] [pid 14596:tid 1292] (70007)The timeout specified has expired: [client 127.0.0.1:55880] AH01075: Error dispatching request to :10005: (polling), referer: https://safe-doctor.localsite.io/
[Thu Feb 17 16:20:31.636736 2022] [proxy_fcgi:error] [pid 14596:tid 1332] (70007)The timeout specified has expired: [client 127.0.0.1:55902] AH01075: Error dispatching request to :10005: (polling), referer: https://safe-doctor.localsite.io/
[Thu Feb 17 16:20:57.268538 2022] [proxy_fcgi:error] [pid 14596:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:62294] AH01075: Error dispatching request to :10005: (polling)
[Thu Feb 17 16:21:03.847628 2022] [proxy_fcgi:error] [pid 14596:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:62297] AH01075: Error dispatching request to :10005: (polling)
